file | kind | name | qualified_name | start_line | end_line | parent | data_type | data_shape | signature
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | struct | NG_IP_ADDR_DONTUSE | NG_IP_ADDR_DONTUSE | 45 | 45 |  |  |  | struct NG_IP_ADDR_DONTUSE
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | typedef | ng_ipaddr_t | ng_ipaddr_t | 45 | 45 |  |  |  | typedef struct NG_IP_ADDR_DONTUSE ng_ipaddr_t;
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | function | ng_ipaddr_af | ng_ipaddr_af | 49 | 59 |  |  |  | static inline int ng_ipaddr_af(const ng_ipaddr_t *a)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | function | ng_ipaddr_salen | ng_ipaddr_salen | 62 | 73 |  |  |  | static inline socklen_t ng_ipaddr_salen(const ng_ipaddr_t *a)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | function | ng_ipaddr_getport | ng_ipaddr_getport | 76 | 92 |  |  |  | static inline UINT16 ng_ipaddr_getport(const ng_ipaddr_t *a)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | function | ng_ipaddr_tostr | ng_ipaddr_tostr | 116 | 121 |  |  |  | static inline const char* ng_ipaddr_tostr(const ng_ipaddr_t *addr)
C:\develop\SpecBuilder\ngircd-master\src\ipaddr\ng_ipaddr.h | function | ng_ipaddr_tostr_r | ng_ipaddr_tostr_r | 123 | 130 |  |  |  | static inline bool ng_ipaddr_tostr_r(const ng_ipaddr_t *addr, char *d)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | safemult_sizet | safemult_sizet | 34 | 44 |  |  |  | static bool safemult_sizet(size_t a, size_t b, size_t *res)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_init | array_init | 47 | 54 |  |  |  | void array_init(array *a)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_alloc | array_alloc | 58 | 87 |  |  |  | void * array_alloc(array * a, size_t size, size_t pos)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_length | array_length | 91 | 102 |  |  |  | size_t array_length(const array * const a, size_t membersize)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_copy | array_copy | 106 | 114 |  |  |  | bool array_copy(array * dest, const array * const src)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_copyb | array_copyb | 118 | 129 |  |  |  | bool array_copyb(array * dest, const char *src, size_t len)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_copys | array_copys | 133 | 137 |  |  |  | bool array_copys(array * dest, const char *src)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_catb | array_catb | 142 | 179 |  |  |  | bool array_catb(array * dest, const char *src, size_t len)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_cats | array_cats | 183 | 187 |  |  |  | bool array_cats(array * dest, const char *src)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_cat0 | array_cat0 | 191 | 195 |  |  |  | bool array_cat0(array * a)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_cat0_temporary | array_cat0_temporary | 199 | 208 |  |  |  | bool array_cat0_temporary(array * a)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_cat | array_cat | 211 | 218 |  |  |  | bool array_cat(array * dest, const array * const src)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_get | array_get | 224 | 244 |  |  |  | void * array_get(array * a, size_t membersize, size_t pos)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_free | array_free | 247 | 260 |  |  |  | void array_free(array * a)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_free_wipe | array_free_wipe | 262 | 269 |  |  |  | void array_free_wipe(array *a)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_start | array_start | 271 | 276 |  |  |  | void * array_start(const array * const a)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_trunc | array_trunc | 279 | 284 |  |  |  | void array_trunc(array * a)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_truncate | array_truncate | 287 | 297 |  |  |  | void array_truncate(array * a, size_t membersize, size_t len)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.c | function | array_moveleft | array_moveleft | 301 | 329 |  |  |  | void array_moveleft(array * a, size_t membersize, size_t pos)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.h | struct | <anonymous> | <anonymous> | 22 | 26 |  |  |  | struct { char * mem; size_t allocated; size_t used; }
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.h | typedef | array | array | 22 | 26 |  |  |  | typedef struct { char * mem; size_t allocated; size_t used; } array;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.h | field | mem | mem | 23 | 23 |  | char | scalar_or_unknown | char * mem;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.h | field | allocated | allocated | 24 | 24 |  | size_t | scalar_or_unknown | size_t allocated;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\array.h | field | used | used | 25 | 25 |  | size_t | scalar_or_unknown | size_t used;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Init | Channel_Init | 59 | 64 |  |  |  | GLOBAL void Channel_Init( void )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_GetListBans | Channel_GetListBans | 67 | 72 |  |  |  | list_head * Channel_GetListBans(CHANNEL *c)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_GetListExcepts | Channel_GetListExcepts | 75 | 80 |  |  |  | list_head * Channel_GetListExcepts(CHANNEL *c)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_GetListInvites | Channel_GetListInvites | 83 | 88 |  |  |  | list_head * Channel_GetListInvites(CHANNEL *c)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_InitPredefined | Channel_InitPredefined | 94 | 202 |  |  |  | GLOBAL void Channel_InitPredefined( void )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | Conf_Channel | Conf_Channel | 99 | 99 |  |  |  | struct Conf_Channel
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Free_Channel | Free_Channel | 205 | 215 |  |  |  | static void Free_Channel(CHANNEL *chan)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Exit | Channel_Exit | 218 | 239 |  |  |  | GLOBAL void Channel_Exit( void )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Join | Channel_Join | 250 | 283 |  |  |  | GLOBAL bool Channel_Join( CLIENT *Client, const char *Name )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Part | Channel_Part | 293 | 325 |  |  |  | GLOBAL bool Channel_Part(CLIENT * Client, CLIENT * Origin, const char *Name, const char *Reason)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Kick | Channel_Kick | 331 | 420 |  |  |  | GLOBAL void Channel_Kick(CLIENT *Peer, CLIENT *Target, CLIENT *Origin, const char *Name, const char *Reason )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Quit | Channel_Quit | 423 | 443 |  |  |  | GLOBAL void Channel_Quit( CLIENT *Client, const char *Reason )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_CountVisible | Channel_CountVisible | 453 | 470 |  |  |  | GLOBAL unsigned long Channel_CountVisible (CLIENT *Client)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_MemberCount | Channel_MemberCount | 473 | 488 |  |  |  | GLOBAL unsigned long Channel_MemberCount( CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_CountForUser | Channel_CountForUser | 491 | 509 |  |  |  | GLOBAL int Channel_CountForUser( CLIENT *Client )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Name | Channel_Name | 512 | 517 |  |  |  | GLOBAL const char * Channel_Name( const CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Modes | Channel_Modes | 520 | 525 |  |  |  | GLOBAL char * Channel_Modes( CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_HasMode | Channel_HasMode | 528 | 533 |  |  |  | GLOBAL bool Channel_HasMode( CHANNEL *Chan, char Mode )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Key | Channel_Key | 536 | 541 |  |  |  | GLOBAL char * Channel_Key( CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_MaxUsers | Channel_MaxUsers | 544 | 549 |  |  |  | GLOBAL unsigned long Channel_MaxUsers( CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_First | Channel_First | 552 | 556 |  |  |  | GLOBAL CHANNEL * Channel_First( void )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Next | Channel_Next | 559 | 564 |  |  |  | GLOBAL CHANNEL * Channel_Next( CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Search | Channel_Search | 567 | 589 |  |  |  | GLOBAL CHANNEL * Channel_Search( const char *Name )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_FirstMember | Channel_FirstMember | 592 | 597 |  |  |  | GLOBAL CL2CHAN * Channel_FirstMember( CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_NextMember | Channel_NextMember | 600 | 606 |  |  |  | GLOBAL CL2CHAN * Channel_NextMember( CHANNEL *Chan, CL2CHAN *Cl2Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_FirstChannelOf | Channel_FirstChannelOf | 609 | 614 |  |  |  | GLOBAL CL2CHAN * Channel_FirstChannelOf( CLIENT *Client )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_NextChannelOf | Channel_NextChannelOf | 617 | 623 |  |  |  | GLOBAL CL2CHAN * Channel_NextChannelOf( CLIENT *Client, CL2CHAN *Cl2Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_GetClient | Channel_GetClient | 626 | 631 |  |  |  | GLOBAL CLIENT * Channel_GetClient( CL2CHAN *Cl2Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_GetChannel | Channel_GetChannel | 634 | 639 |  |  |  | GLOBAL CHANNEL * Channel_GetChannel( CL2CHAN *Cl2Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_IsValidName | Channel_IsValidName | 642 | 657 |  |  |  | GLOBAL bool Channel_IsValidName( const char *Name )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_ModeAdd | Channel_ModeAdd | 660 | 680 |  |  |  | GLOBAL bool Channel_ModeAdd( CHANNEL *Chan, char Mode )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_ModeDel | Channel_ModeDel | 683 | 704 |  |  |  | GLOBAL bool Channel_ModeDel( CHANNEL *Chan, char Mode )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_UserModeAdd | Channel_UserModeAdd | 707 | 732 |  |  |  | GLOBAL bool Channel_UserModeAdd( CHANNEL *Chan, CLIENT *Client, char Mode )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_UserModeDel | Channel_UserModeDel | 735 | 762 |  |  |  | GLOBAL bool Channel_UserModeDel( CHANNEL *Chan, CLIENT *Client, char Mode )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_UserModes | Channel_UserModes | 765 | 779 |  |  |  | GLOBAL char * Channel_UserModes( CHANNEL *Chan, CLIENT *Client )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_UserHasMode | Channel_UserHasMode | 790 | 804 |  |  |  | GLOBAL bool Channel_UserHasMode( CHANNEL *Chan, CLIENT *Client, char Mode )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_IsMemberOf | Channel_IsMemberOf | 807 | 815 |  |  |  | GLOBAL bool Channel_IsMemberOf( CHANNEL *Chan, CLIENT *Client )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Topic | Channel_Topic | 818 | 825 |  |  |  | GLOBAL char * Channel_Topic( CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_TopicTime | Channel_TopicTime | 830 | 835 |  |  |  | GLOBAL unsigned int Channel_TopicTime(CHANNEL *Chan)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_TopicWho | Channel_TopicWho | 838 | 843 |  |  |  | GLOBAL char * Channel_TopicWho(CHANNEL *Chan)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_CreationTime | Channel_CreationTime | 846 | 851 |  |  |  | GLOBAL unsigned int Channel_CreationTime(CHANNEL *Chan)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_SetTopic | Channel_SetTopic | 856 | 881 |  |  |  | GLOBAL void Channel_SetTopic(CHANNEL *Chan, CLIENT *Client, const char *Topic)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_SetModes | Channel_SetModes | 884 | 891 |  |  |  | GLOBAL void Channel_SetModes( CHANNEL *Chan, const char *Modes )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_SetKey | Channel_SetKey | 894 | 902 |  |  |  | GLOBAL void Channel_SetKey( CHANNEL *Chan, const char *Key )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_SetMaxUsers | Channel_SetMaxUsers | 905 | 912 |  |  |  | GLOBAL void Channel_SetMaxUsers(CHANNEL *Chan, unsigned long Count)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Can_Send_To_Channel | Can_Send_To_Channel | 922 | 970 |  |  |  | static bool Can_Send_To_Channel(CHANNEL *Chan, CLIENT *From)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Write | Channel_Write | 973 | 994 |  |  |  | GLOBAL bool Channel_Write(CHANNEL *Chan, CLIENT *From, CLIENT *Client, const char *Command, bool SendErrors, const char *Text)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_Create | Channel_Create | 997 | 1021 |  |  |  | GLOBAL CHANNEL * Channel_Create( const char *Name )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Get_Cl2Chan | Get_Cl2Chan | 1024 | 1039 |  |  |  | static CL2CHAN * Get_Cl2Chan( CHANNEL *Chan, CLIENT *Client )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Add_Client | Add_Client | 1042 | 1068 |  |  |  | static CL2CHAN * Add_Client( CHANNEL *Chan, CLIENT *Client )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Remove_Client | Remove_Client | 1071 | 1158 |  |  |  | static bool Remove_Client( int Type, CHANNEL *Chan, CLIENT *Client, CLIENT *Origin, const char *Reason, bool InformServer )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_AddBan | Channel_AddBan | 1161 | 1167 |  |  |  | GLOBAL bool Channel_AddBan(CHANNEL *c, const char *mask, const char *who )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_head | list_head | 1164 | 1164 |  |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_AddExcept | Channel_AddExcept | 1170 | 1176 |  |  |  | GLOBAL bool Channel_AddExcept(CHANNEL *c, const char *mask, const char *who )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_head | list_head | 1173 | 1173 |  |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_AddInvite | Channel_AddInvite | 1179 | 1185 |  |  |  | GLOBAL bool Channel_AddInvite(CHANNEL *c, const char *mask, bool onlyonce, const char *who )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_head | list_head | 1182 | 1182 |  |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | ShowChannelList | ShowChannelList | 1188 | 1210 |  |  |  | static bool ShowChannelList(struct list_head *head, CLIENT *Client, CHANNEL *Channel, char *msg, char *msg_end)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_head | list_head | 1189 | 1189 |  |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_elem | list_elem | 1192 | 1192 |  |  |  | struct list_elem
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_ShowBans | Channel_ShowBans | 1213 | 1223 |  |  |  | GLOBAL bool Channel_ShowBans( CLIENT *Client, CHANNEL *Channel )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_head | list_head | 1216 | 1216 |  |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_ShowExcepts | Channel_ShowExcepts | 1226 | 1236 |  |  |  | GLOBAL bool Channel_ShowExcepts( CLIENT *Client, CHANNEL *Channel )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_head | list_head | 1229 | 1229 |  |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_ShowInvites | Channel_ShowInvites | 1239 | 1249 |  |  |  | GLOBAL bool Channel_ShowInvites( CLIENT *Client, CHANNEL *Channel )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | struct | list_head | list_head | 1242 | 1242 |  |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_LogServer | Channel_LogServer | 1255 | 1269 |  |  |  | GLOBAL void Channel_LogServer(const char *msg)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Channel_CheckKey | Channel_CheckKey | 1272 | 1319 |  |  |  | GLOBAL bool Channel_CheckKey(CHANNEL *Chan, CLIENT *Client, const char *Key)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Get_First_Cl2Chan | Get_First_Cl2Chan | 1322 | 1326 |  |  |  | static CL2CHAN * Get_First_Cl2Chan( CLIENT *Client, CHANNEL *Chan )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Get_Next_Cl2Chan | Get_Next_Cl2Chan | 1329 | 1344 |  |  |  | static CL2CHAN * Get_Next_Cl2Chan( CL2CHAN *Start, CLIENT *Client, CHANNEL *Channel )
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Delete_Channel | Delete_Channel | 1350 | 1376 |  |  |  | static void Delete_Channel(CHANNEL *Chan)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.c | function | Set_KeyFile | Set_KeyFile | 1379 | 1404 |  |  |  | static void Set_KeyFile(CHANNEL *Chan, const char *KeyFile)
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | struct | _CHANNEL | _CHANNEL | 26 | 44 |  |  |  | struct _CHANNEL { struct _CHANNEL *next; char name[CHANNEL_NAME_LEN]; /* Name of the channel */ UINT32 hash; /* Hash of the (lowecase!) name */ char modes[CHANNEL_MODE_LEN]; /* Channel modes */ array topic; /* Topic of the channel */ #ifndef STRICT_RFC time_t creation_time; /* Channel creation time 
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | typedef | CHANNEL | CHANNEL | 26 | 44 |  |  |  | typedef struct _CHANNEL { struct _CHANNEL *next; char name[CHANNEL_NAME_LEN]; /* Name of the channel */ UINT32 hash; /* Hash of the (lowecase!) name */ char modes[CHANNEL_MODE_LEN]; /* Channel modes */ array topic; /* Topic of the channel */ #ifndef STRICT_RFC time_t creation_time; /* Channel creati
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | _CHANNEL | _CHANNEL::_CHANNEL | 28 | 28 | _CHANNEL | struct _CHANNEL | structured_object | struct _CHANNEL *next;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | struct | _CHANNEL | _CHANNEL::_CHANNEL | 28 | 28 | _CHANNEL |  |  | struct _CHANNEL
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | name | _CHANNEL::name | 29 | 29 | _CHANNEL | char | scalar_or_unknown | char name[CHANNEL_NAME_LEN];
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | hash | _CHANNEL::hash | 30 | 30 | _CHANNEL | UINT32 | scalar_or_unknown | UINT32 hash;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | modes | _CHANNEL::modes | 31 | 31 | _CHANNEL | char | scalar_or_unknown | char modes[CHANNEL_MODE_LEN];
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | topic | _CHANNEL::topic | 32 | 32 | _CHANNEL | array | array_or_collection | array topic;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | creation_time | _CHANNEL::creation_time | 34 | 34 | _CHANNEL | time_t | scalar_or_unknown | time_t creation_time;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | topic_time | _CHANNEL::topic_time | 35 | 35 | _CHANNEL | time_t | scalar_or_unknown | time_t topic_time;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | topic_who | _CHANNEL::topic_who | 36 | 36 | _CHANNEL | char | scalar_or_unknown | char topic_who[CLIENT_NICK_LEN];
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | key | _CHANNEL::key | 38 | 38 | _CHANNEL | char | scalar_or_unknown | char key[CLIENT_PASS_LEN];
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | maxusers | _CHANNEL::maxusers | 39 | 39 | _CHANNEL | unsigned long | scalar_or_unknown | unsigned long maxusers;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | list_bans | _CHANNEL::list_bans | 40 | 40 | _CHANNEL | struct list_head | structured_object | struct list_head list_bans;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | struct | list_head | _CHANNEL::list_head | 40 | 40 | _CHANNEL |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | list_excepts | _CHANNEL::list_excepts | 41 | 41 | _CHANNEL | struct list_head | structured_object | struct list_head list_excepts;
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | struct | list_head | _CHANNEL::list_head | 41 | 41 | _CHANNEL |  |  | struct list_head
C:\develop\SpecBuilder\ngircd-master\src\ngircd\channel.h | field | list_invites | _CHANNEL::list_invites | 42 | 42 | _CHANNEL | struct list_head | structured_object | struct list_head list_invites;
